City,Design Level,PGA,EQgroup,District
,6 度,0.05g,第一组,南召县、方城县、淅川县、社旗县、新野县、桐柏县、邓州市
商丘市,7 度,0.10g,第二组,梁园区、睢阳区、民权县、虞城县
,6 度,0.05g,第三组,睢县、永城市
,6 度,0.05g,第二组,宁陵县、柘城县、夏邑县
信阳市,7 度,0.10g,第一组,罗山县、潢川县、息县
,6 度,0.05g,第一组,浉河区、平桥区、光山县、新县、商城县、固始县、淮滨县
周口市,7 度,0.10g,第一组,扶沟县、太康县
,6 度,0.05g,第一组,川汇区、西华县、商水县、沈丘县、郸城县、淮阳县、鹿邑县、项城市
驻马店市,7 度,0.10g,第一组,西平县
,6 度,0.05g,第一组,驿城区、上蔡县、平舆县、正阳县、确山县、泌阳县、汝南县、遂平县、新蔡县
省直辖县级行政单位,7 度,0.10g,第二组,济源市
武汉市,7 度,0.10g,第一组,新洲区
,6 度,0.05g,第一组,江岸区、江汉区、硚口区、汉阳区、武昌区、青山区、洪山区、东西湖区、汉南区、蔡甸区、江夏区、黄陂区
黄石市,6 度,0.05g,第一组,黄石港区、西塞山区、下陆区、铁山区、阳新县、大冶市
十堰市,7 度,0.15g,第一组,竹山县、竹溪县
,7 度,0.10g,第一组,郧阳区、房县
,6 度,0.05g,第一组,茅箭区、张湾区、郧西县、丹江口市
宜昌市,6 度,0.05g,第一组,西陵区、伍家岗区、点军区、猇亭区、夷陵区、远安县、兴山县、秭归县、长阳土家族自治县、五峰土家族自治县、宜都市、当阳市、枝江市
襄阳市,6 度,0.05g,第一组,襄城区、樊城区、襄州区、南漳县、谷城县、保康县、老河口市、枣阳市、宜城市
鄂州市,6 度,0.05g,第一组,梁子湖区、华容区、鄂城区
荆门市,6 度,0.05g,第一组,东宝区、掇刀区、京山县、沙洋县、钟祥市
孝感市,6 度,0.05g,第一组,孝南区、孝昌县、大悟县、云梦县、应城市、安陆市、汉川市
荆州市,6 度,0.05g,第一组,沙市区、荆州区、公安县、监利县、江陵县、石首市、洪湖市、松滋市
黄冈市,7 度,0.10g,第一组,团风县、罗田县、英山县、麻城市
,6 度,0.05g,第一组,黄州区、红安县、浠水县、蕲春县、黄梅县、武穴市
咸宁市,6 度,0.05g,第一组,咸安区、嘉鱼县、通城县、崇阳县、通山县、赤壁市
随州市,6 度,0.05g,第一组,曾都区、随县、广水市
恩施土家族苗族自治州,6 度,0.05g,第一组,恩施市、利川市、建始县、巴东县、宣恩县、咸丰县、来凤县、鹤峰县
省直辖县级行政单位,6 度,0.05g,第一组,仙桃市、潜江市、天门市、神农架林区
长沙市,6 度,0.05g,第一组,芙蓉区、天心区、岳麓区、开福区、雨花区、望城区、长沙县、宁乡县、浏阳市
株洲市,6 度,0.05g,第一组,荷塘区、芦淞区、石峰区、天元区、株洲县、攸县、茶陵县、炎陵县、醴陵市
湘潭市,6 度,0.05g,第一组,雨湖区、岳塘区、湘潭县、湘乡市、韶山市
衡阳市,6 度,0.05g,第一组,珠晖区、雁峰区、石鼓区、蒸湘区、南岳区、衡阳县、衡南县、衡山县、衡东县、祁东县、耒阳市、常宁市
邵阳市,6 度,0.05g,第一组,双清区、大祥区、北塔区、邵东县、新邵县、邵阳县、隆回县、洞口县、绥宁县、新宁县、城步苗族自治县、武冈市
岳阳市,7 度,0.10g,第二组,湘阴县、汨罗市
,7 度,0.10g,第一组,岳阳楼区、岳阳县
,6 度,0.05g,第一组,云溪区、君山区、华容县、平江县、临湘市
常德市,7 度,0.15g,第一组,武陵区、鼎城区
,7 度,0.10g,第一组,安乡县、汉寿县、澧县、临澧县、桃源县、津市市
,6 度,0.05g,第一组,石门县
张家界市,6 度,0.05g,第一组,永定区、武陵源区、慈利县、桑植县
益阳市,6 度,0.05g,第一组,资阳区、赫山区、南县、桃江县、安化县、沅江市
郴州市,6 度,0.05g,第一组,北湖区、苏仙区、桂阳县、宜章县、永兴县、嘉禾县、临武县、汝城县、桂东县、安仁县、资兴市
永州市,6 度,0.05g,第一组,零陵区、冷水滩区、祁阳县、东安县、双牌县、道县、江永县、宁远县、蓝山县、新田县、江华瑶族自治县
怀化市,6 度,0.05g,第一组,鹤城区、中方县、沅陵县、辰溪县、溆浦县、会同县、麻阳苗族自治县、新晃侗族自治县、芷江侗族自治县、靖州苗族侗族自治县、通道侗族自治县、洪江市
娄底市,6 度,0.05g,第一组,娄星区、双峰县、新化县、冷水江市、涟源市
湘西土家族苗族自治州,6 度,0.05g,第一组,吉首市、泸溪县、凤凰县、花垣县、保靖县、古丈县、永顺县、龙山县
广州市,7 度,0.10g,第一组,荔湾区、越秀区、海珠区、天河区、白云区、黄埔区、番禺区、南沙区
,6 度,0.05g,第一组,花都区、增城区、从化区
韶关市,6 度,0.05g,第一组,武江区、浈江区、曲江区、始兴县、仁化县、翁源县、乳源瑶族自治县、新丰县、乐昌市、南雄市
深圳市,7 度,0.10g,第一组,罗湖区、福田区、南山区、宝安区、龙岗区、盐田区
珠海市,7 度,0.10g,第二组,香洲区、金湾区
,7 度,0.10g,第一组,斗门区
汕头市,8 度,0.20g,第二组,龙湖区、金平区、濠江区、潮阳区、澄海区、南澳县
,7 度,0.15g,第二组,潮南区
佛山市,7 度,0.10g,第一组,禅城区、南海区、顺德区、三水区、高明区
江门市,7 度,0.10g,第一组,蓬江区、江海区、新会区、鹤山市
,6 度,0.05g,第一组,台山市、开平市、恩平市
湛江市,8 度,0.20g,第二组,徐闻县
,7 度,0.10g,第一组,赤坎区、霞山区、坡头区、麻章区、遂溪县、廉江市、雷州市、吴川市
茂名市,7 度,0.10g,第一组,茂南区、电白区、化州市
,6 度,0.05g,第一组,高州市、信宜市
肇庆市,7 度,0.10g,第一组,端州区、鼎湖区、高要区
,6 度,0.05g,第一组,广宁县、怀集县、封开县、德庆县、四会市
惠州市,6 度,0.05g,第一组,惠城区、惠阳区、博罗县、惠东县、龙门县
梅州市,7 度,0.10g,第二组,大埔县
,7 度,0.10g,第一组,梅江区、梅县区、丰顺县
,6 度,0.05g,第一组,五华县、平远县、蕉岭县、兴宁市
汕尾市,7 度,0.10g,第一组,城区、海丰县、陆丰市
,6 度,0.05g,第一组,陆河县
河源市,7 度,0.10g,第一组,源城区、东源县
,6 度,0.05g,第一组,紫金县、龙川县、连平县、和平县
阳江市,7 度,0.15g,第一组,江城区
,7 度,0.10g,第一组,阳东区、阳西县
,6 度,0.05g,第一组,阳春市
清远市,6 度,0.05g,第一组,清城区、清新区、佛冈县、阳山县、连山壮族瑶族自治县、连南瑶族自治县、英德市、连州市
东莞市,7 度,0.10g,第一组,东莞市
中山市,6 度,0.05g,第一组,中山市
潮州市,8 度,0.20g,第二组,湘桥区、潮安区
,7 度,0.15g,第二组,饶平县
揭阳市,7 度,0.15g,第二组,榕城区、揭东区
,7 度,0.10g,第二组,惠来县、普宁市
,6 度,0.05g,第一组,揭西县
云浮市,6 度,0.05g,第一组,云城区、云安区、新兴县、郁南县、罗定市
南宁市,7 度,0.15g,第一组,隆安县
,7 度,0.10g,第一组,兴宁区、青秀区、江南区、西乡塘区、良庆区、邕宁区、横县
,6 度,0.05g,第一组,武鸣区、马山县、上林县、宾阳县
柳州市,6 度,0.05g,第一组,城中区、鱼峰区、柳南区、柳北区、柳江县、柳城县、鹿寨县、融安县、融水苗族自治县、三江侗族自治县
桂林市,6 度,0.05g,第一组,秀峰区、叠彩区、象山区、七星区、雁山区、临桂区、阳朔县、灵川县、全州县、兴安县、永福县、灌阳县、龙胜各族自治县、资源县、平乐县、荔浦县、恭城瑶族自治县
梧州市,6 度,0.05g,第一组,万秀区、长洲区、龙圩区、苍梧县、藤县、蒙山县、岑溪市
北海市,7 度,0.10g,第一组,合浦县
,6 度,0.05g,第一组,海城区、银海区、铁山港区
防城港市,6 度,0.05g,第一组,港口区、防城区、上思县、东兴市
钦州市,7 度,0.15g,第一组,灵山县
,7 度,0.10g,第一组,钦南区、钦北区、浦北县
贵港市,6 度,0.05g,第一组,港北区、港南区、覃塘区、平南县、桂平市
玉林市,7 度,0.10g,第一组,玉州区、福绵区、陆川县、博白县、兴业县、北流市
,6 度,0.05g,第一组,容县
百色市,7 度,0.15g,第一组,田东县、平果县、乐业县
,7 度,0.10g,第一组,右江区、田阳县、田林县
,6 度,0.05g,第二组,西林县、隆林各族自治县
,6 度,0.05g,第一组,德保县、那坡县、凌云县
贺州市,6 度,0.05g,第一组,八步区、昭平县、钟山县、富川瑶族自治县
河池市,6 度,0.05g,第一组,金城江区、南丹县、天峨县、凤山县、东兰县、罗城仫佬族自治县、环江毛南族自治县、巴马瑶族自治县、都安瑶族自治县、大化瑶族自治县、宜州市
来宾市,6 度,0.05g,第一组,兴宾区、忻城县、象州县、武宣县、金秀瑶族自治县、合山市
崇左市,7 度,0.10g,第一组,扶绥县
,6 度,0.05g,第一组,江州区、宁明县、龙州县、大新县、天等县、凭祥市
自治区直辖县级行政单位,6 度,0.05g,第一组,靖西市
海口市,8 度,0.30g,第二组,秀英区、龙华区、琼山区、美兰区
三亚市,6 度,0.05g,第一组,海棠区、吉阳区、天涯区、崖州区
三沙市,7 度,0.10g,第一组,三沙市1
儋州市,7 度,0.10g,第二组,儋州市
省直辖县级行政单位,8 度,0.20g,第二组,文昌市、定安县
,7 度,0.15g,第二组,澄迈县
,7 度,0.15g,第一组,临高县
,7 度,0.10g,第二组,琼海市、屯昌县
,6 度,0.05g,第二组,白沙黎族自治县、琼中黎族苗族自治县
,6 度,0.05g,第一组,五指山市、万宁市、东方市、昌江黎族自治县、乐东黎族自治县、陵水黎族自治县、保亭黎族苗族自治县
重庆市,7 度,0.10g,第一组,黔江区、荣昌区
,6 度,0.05g,第一组,万州区、涪陵区、渝中区、大渡口区、江北区、沙坪坝区、九龙坡区、南岸区、北碚区、綦江区、大足区、渝北区、巴南区、长寿区、江津区、合川区、永川区、南川区、铜梁区、璧山区、潼南区、梁平县、城口县、丰都县、垫江县、武隆县、忠县、开县、云阳县、奉节县、巫山县、巫溪县、石柱土家族自治县、秀山土家族苗族自治县、酉阳土家族苗族自治县、彭水苗族土家族自治县
成都市,8 度,0.20g,第二组,都江堰市
,7 度,0.15g,第二组,彭州市
,7 度,0.10g,第三组,锦江区、青羊区、金牛区、武侯区、成华区、龙泉驿区、青白江区、新都区、温江区、金堂县、双流县、郫县、大邑县、蒲江县、新津县、邛崃市、崇州市
自贡市,7 度,0.10g,第二组,富顺县
,7 度,0.10g,第一组,自流井区、贡井区、大安区、沿滩区
,6 度,0.05g,第三组,荣县
攀枝花市,7 度,0.15g,第三组,东区、西区、仁和区、米易县、盐边县
泸州市,6 度,0.05g,第二组,泸县
,6 度,0.05g,第一组,江阳区、纳溪区、龙马潭区、合江县、叙永县、古蔺县
德阳市,7 度,0.15g,第二组,什邡市、绵竹市
,7 度,0.10g,第三组,广汉市
,7 度,0.10g,第二组,旌阳区、中江县、罗江县
绵阳市,8 度,0.20g,第二组,平武县
,7 度,0.15g,第二组,北川羌族自治县（新）、江油市
,7 度,0.10g,第二组,涪城区、游仙区、安县
,6 度,0.05g,第二组,三台县、盐亭县、梓潼县
广元市,7 度,0.15g,第二组,朝天区、青川县
,7 度,0.10g,第二组,利州区、昭化区、剑阁县
,6 度,0.05g,第二组,旺苍县、苍溪县
遂宁市,6 度,0.05g,第一组,船山区、安居区、蓬溪县、射洪县、大英县
内江市,7 度,0.10g,第一组,隆昌县
,6 度,0.05g,第二组,威远县
,6 度,0.05g,第一组,市中区、东兴区、资中县
乐山市,7 度,0.15g,第三组,金口河区
,7 度,0.15g,第二组,沙湾区、沐川县、峨边彝族自治县、马边彝族自治县
,7 度,0.10g,第三组,五通桥区、犍为县、夹江县
,7 度,0.10g,第二组,市中区、峨眉山市
,6 度,0.05g,第三组,井研县
南充市,6 度,0.05g,第二组,阆中市
,6 度,0.05g,第一组,顺庆区、高坪区、嘉陵区、南部县、营山县、蓬安县、仪陇县、西充县
眉山市,7 度,0.10g,第三组,东坡区、彭山区、洪雅县、丹棱县、青神县
,6 度,0.05g,第二组,仁寿县
宜宾市,7 度,0.10g,第三组,高县
,7 度,0.10g,第二组,翠屏区、宜宾县、屏山县
,6 度,0.05g,第三组,珙县、筠连县
,6 度,0.05g,第二组,南溪区、江安县、长宁县
,6 度,0.05g,第一组,兴文县
广安市,6 度,0.05g,第一组,广安区、前锋区、岳池县、武胜县、邻水县、华蓥市
达州市,6 度,0.05g,第一组,通川区、达川区、宣汉县、开江县、大竹县、渠县、万源市
雅安市,8 度,0.20g,第三组,石棉县
,8 度,0.20g,第一组,宝兴县
,7 度,0.15g,第三组,荥经县、汉源县
,7 度,0.15g,第二组,天全县、芦山县
,7 度,0.10g,第三组,名山区
,7 度,0.10g,第二组,雨城区
巴中市,6 度,0.05g,第一组,巴州区、恩阳区、通江县、平昌县
,6 度,0.05g,第二组,南江县
资阳市,6 度,0.05g,第一组,雁江区、安岳县、乐至县
,6 度,0.05g,第二组,简阳市
阿坝藏族羌族自治州,8 度,0.20g,第三组,九寨沟县
,8 度,0.20g,第二组,松潘县
,8 度,0.20g,第一组,汶川县、茂县
,7 度,0.15g,第二组,理县、阿坝县
,7 度,0.10g,第三组,金川县、小金县、黑水县、壤塘县、若尔盖县、红原县
,7 度,0.10g,第二组,马尔康县
甘孜藏族自治州,9 度,0.40g,第二组,康定市
,8 度,0.30g,第二组,道孚县、炉霍县
,8 度,0.20g,第三组,理塘县、甘孜县
,8 度,0.20g,第二组,泸定县、德格县、白玉县、巴塘县、得荣县
,7 度,0.15g,第三组,九龙县、雅江县、新龙县
,7 度,0.15g,第二组,丹巴县
,7 度,0.10g,第三组,石渠县、色达县、稻城县
,7 度,0.10g,第二组,乡城县
凉山彝族自治州,9 度,0.40g,第三组,西昌市
,8 度,0.30g,第三组,宁南县、普格县、冕宁县
,8 度,0.20g,第三组,盐源县、德昌县、布拖县、昭觉县、喜德县、越西县、雷波县
,7 度,0.15g,第三组,木里藏族自治县、会东县、金阳县、甘洛县、美姑县
,7 度,0.10g,第三组,会理县
贵阳市,6 度,0.05g,第一组,南明区、云岩区、花溪区、乌当区、白云区、观山湖区、开阳县、息烽县、修文县、清镇市
六盘水市,7 度,0.10g,第二组,钟山区
,6 度,0.05g,第三组,盘县
,6 度,0.05g,第二组,水城县
,6 度,0.05g,第一组,六枝特区
遵义市,6 度,0.05g,第一组,红花岗区、汇川区、遵义县、桐梓县、绥阳县、正安县、道真仡佬族苗族自治县、务川仡佬族苗族自治县凤、冈县、湄潭县、余庆县、习水县、赤水市、仁怀市
安顺市,6 度,0.05g,第一组,西秀区、平坝区、普定县、镇宁布依族苗族自治县、关岭布依族苗族自治县、紫云苗族布依族自治县
铜仁市,6 度,0.05g,第一组,碧江区、万山区、江口县、玉屏侗族自治县、石阡县、思南县、印江土家族苗族自治县、德江县、沿河土家族自治县、松桃苗族自治县
黔西南布依族苗族自治州,7 度,0.15g,第一组,望谟县
,7 度,0.10g,第二组,普安县、晴隆县
,6 度,0.05g,第三组,兴义市
,6 度,0.05g,第二组,兴仁县、贞丰县、册亨县、安龙县
毕节市,7 度,0.10g,第三组,威宁彝族回族苗族自治县
,6 度,0.05g,第三组,赫章县
,6 度,0.05g,第二组,七星关区、大方县、纳雍县
,6 度,0.05g,第一组,金沙县、黔西县、织金县
黔东南苗族侗族自治州,6 度,0.05g,第一组,凯里市、黄平县、施秉县、三穗县、镇远县、岑巩县、天柱县、锦屏县、剑河县、台江县、黎平县、榕江县、从江县、雷山县、麻江县、丹寨县
黔南布依族苗族自治州,7 度,0.10g,第一组,福泉市、贵定县、龙里县
,6 度,0.05g,第一组,都匀市、荔波县、瓮安县、独山县、平塘县、罗甸县、长顺县、惠水县、三都水族自治县
昆明市,9 度,0.40g,第三组,东川区、寻甸回族彝族自治县
,8 度,0.30g,第三组,宜良县、嵩明县
,8 度,0.20g,第三组,五华区、盘龙区、官渡区、西山区、呈贡区、晋宁县、石林彝族自治县、安宁市
,7 度,0.15g,第三组,富民县、禄劝彝族苗族自治县
曲靖市,8 度,0.20g,第三组,马龙县、会泽县
,7 度,0.15g,第三组,麒麟区、陆良县、沾益县
,7 度,0.10g,第三组,师宗县、富源县、罗平县、宣威市
玉溪市,8 度,0.30g,第三组,江川县、澄江县、通海县、华宁县、峨山彝族自治县
,8 度,0.20g,第三组,红塔区、易门县
,7 度,0.15g,第三组,新平彝族傣族自治县、元江哈尼族彝族傣自治县
保山市,8 度,0.30g,第三组,龙陵县
,8 度,0.20g,第三组,隆阳区、施甸县
,7 度,0.15g,第三组,昌宁县
昭通市,8 度,0.20g,第三组,巧家县、永善县
,7 度,0.15g,第三组,大关县、彝良县、鲁甸县
,7 度,0.15g,第二组,绥江县
,7 度,0.10g,第三组,昭阳区、盐津县
,7 度,0.10g,第二组,水富县
,6 度,0.05g,第二组,镇雄县、威信县
丽江市,8 度,0.30g,第三组,古城区、玉龙纳西族自治县、永胜县
,8 度,0.20g,第三组,宁蒗彝族自治县
,7 度,0.15g,第三组,华坪县
普洱市,9 度,0.40g,第三组,澜沧拉祜族自治县
,8 度,0.30g,第三组,孟连傣族拉祜族佤族自治县、西盟佤族自治县
,8 度,0.20g,第三组,思茅区、宁洱哈尼族彝族自县
,7 度,0.15g,第三组,景东彝族自治县、景谷傣族彝族自治县
,7 度,0.10g,第三组,墨江哈尼族自治县、镇沅彝族哈尼族拉祜族自治县、江城哈尼族彝族自治县
临沧市,8 度,0.30g,第三组,双江拉祜族佤族布朗族傣族自治县、耿马傣族佤族自治县、沧源佤族自治县
,8 度,0.20g,第三组,临翔区、凤庆县、云县、永德县、镇康县
楚雄彝族自治州,8 度,0.20g,第三组,楚雄市、南华县
,7 度,0.15g,第三组,双柏县、牟定县、姚安县、大姚县、元谋县、武定县、禄丰县
,7 度,0.10g,第三组,永仁县
红河哈尼族彝族自治州,8 度,0.30g,第三组,建水县、石屏县
,7 度,0.15g,第三组,个旧市、开远市、弥勒市、元阳县、红河县
,7 度,0.10g,第三组,蒙自市、泸西县、金平苗族瑶族傣族自治县、绿春县
,7 度,0.10g,第一组,河口瑶族自治县
,6 度,0.05g,第三组,屏边苗族自治县
文山壮族苗族自治州,7 度,0.10g,第三组,文山市
,6 度,0.05g,第三组,砚山县、丘北县
,6 度,0.05g,第二组,广南县
,6 度,0.05g,第一组,西畴县、麻栗坡县、马关县、富宁县
西双版纳傣族自治州,8 度,0.30g,第三组,勐海县
,8 度,0.20g,第三组,景洪市
,7 度,0.15g,第三组,勐腊县
大理白族自治州,8 度,0.30g,第三组,洱源县、剑川县、鹤庆县
,8 度,0.20g,第三组,大理市、漾濞彝族自治县、祥云县、宾川县、弥渡县、南涧彝族自治县、巍山彝族回族自治县
,7 度,0.15g,第三组,永平县、云龙县
德宏傣族景颇族自治州,8 度,0.30g,第三组,瑞丽市、芒市
,8 度,0.20g,第三组,梁河县、盈江县、陇川县
怒江傈僳族自治州,8 度,0.20g,第三组,泸水县
,8 度,0.20g,第二组,福贡县、贡山独龙族怒族自治县
,7 度,0.15g,第三组,兰坪白族普米族自治县
迪庆藏族自治州,8 度,0.20g,第二组,香格里拉市、德钦县、维西傈僳族自治县
省直辖县级行政单位,8 度,0.20g,第三组,腾冲市
拉萨市,9 度,0.40g,第三组,当雄县
,8 度,0.20g,第三组,城关区、林周县、尼木县、堆龙德庆县
,7 度,0.15g,第三组,曲水县、达孜县、墨竹工卡县
昌都市,8 度,0.20g,第三组,卡若区、边坝县、洛隆县
,7 度,0.15g,第三组,类乌齐县、丁青县、察雅县、八宿县、左贡县
,7 度,0.15g,第二组,江达县、芒康县
,7 度,0.10g,第三组,贡觉县
山南地区,8 度,0.30g,第三组,错那县
,8 度,0.20g,第三组,桑日县、曲松县、隆子县
,7 度,0.15g,第三组,乃东县、扎囊县、贡嘎县、琼结县、措美县、洛扎县、加查县、浪卡子县
日喀则市,8 度,0.20g,第三组,仁布县、康马县、聂拉木县
,8 度,0.20g,第二组,拉孜县、定结县、亚东县
,7 度,0.15g,第三组,桑珠孜区（原日喀则市）、南木林县、江孜县、定日县、萨迦县、白朗县、吉隆县、萨嘎县、岗巴县
,7 度,0.15g,第二组,昂仁县、谢通门县、仲巴县
那曲地区,8 度,0.30g,第三组,申扎县
,8 度,0.20g,第三组,那曲县、安多县、尼玛县
,8 度,0.20g,第二组,嘉黎县
,7 度,0.15g,第三组,聂荣县、班戈县
,7 度,0.15g,第二组,索县、巴青县、双湖县
,7 度,0.10g,第三组,比如县
阿里地区,8 度,0.20g,第三组,普兰县
,7 度,0.15g,第三组,噶尔县、日土县
,7 度,0.15g,第二组,札达县、改则县
,7 度,0.10g,第三组,革吉县
,7 度,0.10g,第二组,措勤县
林芝市,9 度,0.40g,第三组,墨脱县
,8 度,0.30g,第三组,米林县、波密县
,8 度,0.20g,第三组,巴宜区（原林芝县）
,7 度,0.15g,第三组,察隅县、朗县
,7 度,0.10g,第三组,工布江达县
西安市,8 度,0.20g,第二组,新城区、碑林区、莲湖区、灞桥区、未央区、雁塔区、阎良区、临潼区、长安区、高陵区、蓝田县、周至县、户县
铜川市,7 度,0.10g,第三组,王益区、印台区、耀州区
,6 度,0.05g,第三组,宜君县
宝鸡市,8 度,0.20g,第三组,凤翔县、岐山县、陇县、千阳县
,8 度,0.20g,第二组,渭滨区、金台区、陈仓区、扶风县、眉县
,7 度,0.15g,第三组,凤县
,7 度,0.10g,第三组,麟游县、太白县
咸阳市,8 度,0.20g,第二组,秦都区、杨陵区、渭城区、泾阳县、武功县、兴平市
,7 度,0.15g,第三组,乾县
,7 度,0.15g,第二组,三原县、礼泉县
,7 度,0.10g,第三组,永寿县、淳化县
,6 度,0.05g,第三组,彬县、长武县、旬邑县
渭南市,8 度,0.30g,第二组,华县
,8 度,0.20g,第二组,临渭区、潼关县、大荔县、华阴市
,7 度,0.15g,第三组,澄城县、富平县
,7 度,0.15g,第二组,合阳县、蒲城县、韩城市
,7 度,0.10g,第三组,白水县
延安市,6 度,0.05g,第三组,吴起县、富县、洛川县、宜川县、黄龙县、黄陵县
,6 度,0.05g,第二组,延长县、延川县
,6 度,0.05g,第一组,宝塔区、子长县、安塞县、志丹县、甘泉县
汉中市,7 度,0.15g,第二组,略阳县
,7 度,0.10g,第三组,留坝县
,7 度,0.10g,第二组,汉台区、南郑县、勉县、宁强县
,6 度,0.05g,第三组,城固县、洋县、西乡县、佛坪县
,6 度,0.05g,第一组,镇巴县
榆林市,6 度,0.05g,第三组,府谷县、定边县、吴堡县
,6 度,0.05g,第一组,榆阳区、神木县、横山县、靖边县、绥德县、米脂县、佳县、清涧县、子洲县
安康市,7 度,0.10g,第一组,汉滨区、平利县
,6 度,0.05g,第三组,汉阴县、石泉县、宁陕县
,6 度,0.05g,第二组,紫阳县、岚皋县、旬阳县、白河县
,6 度,0.05g,第一组,镇坪县
商洛市,7 度,0.15g,第二组,洛南县
,7 度,0.10g,第三组,商州区、柞水县
,7 度,0.10g,第一组,商南县
,6 度,0.05g,第三组,丹凤县、山阳县、镇安县
兰州市,8 度,0.20g,第三组,城关区、七里河区、西固区、安宁区、永登县
,7 度,0.15g,第三组,红古区、皋兰县、榆中县
嘉峪关市,8 度,0.20g,第二组,嘉峪关市
金昌市,7 度,0.15g,第三组,金川区、永昌县
白银市,8 度,0.30g,第三组,平川区
,8 度,0.20g,第三组,靖远县、会宁县、景泰县
,7 度,0.15g,第三组,白银区
天水市,8 度,0.30g,第二组,秦州区、麦积区
,8 度,0.20g,第三组,清水县、秦安县、武山县、张家川回族自治县
,8 度,0.20g,第二组,甘谷县
武威市,8 度,0.30g,第三组,古浪县
,8 度,0.20g,第三组,凉州区、天祝藏族自治县
,7 度,0.10g,第三组,民勤县
张掖市,8 度,0.20g,第三组,临泽县
,8 度,0.20g,第二组,肃南裕固族自治县、高台县
,7 度,0.15g,第三组,甘州区
,7 度,0.15g,第二组,民乐县、山丹县
平凉市,8 度,0.20g,第三组,华亭县、庄浪县、静宁县
,7 度,0.15g,第三组,崆峒区、崇信县
,7 度,0.10g,第三组,泾川县、灵台县
酒泉市,8 度,0.20g,第二组,肃北蒙古族自治县
,7 度,0.15g,第三组,肃州区、玉门市
,7 度,0.15g,第二组,金塔县、阿克塞哈萨克族自治县
,7 度,0.10g,第三组,瓜州县、敦煌市
庆阳市,7 度,0.10g,第三组,西峰区、环县、镇原县
,6 度,0.05g,第三组,庆城县、华池县、合水县、正宁县、宁县
定西市,8 度,0.20g,第三组,通渭县、陇西县、漳县
,7 度,0.15g,第三组,安定区、渭源县、临洮县、岷县
陇南市,8 度,0.30g,第二组,西和县、礼县
,8 度,0.20g,第三组,两当县
,8 度,0.20g,第二组,武都区、成县、文县、宕昌县、康县、徽县
临夏回族自治州,8 度,0.20g,第三组,永靖县
,7 度,0.15g,第三组,临夏市、康乐县、广河县、和政县、东乡族自治县、
,7 度,0.15g,第二组,临夏县
,7 度,0.10g,第三组,积石山保安族东乡族撒拉族自治县
甘南藏族自治州,8 度,0.20g,第三组,舟曲县
,8 度,0.20g,第二组,玛曲县
,7 度,0.15g,第三组,临潭县、卓尼县、迭部县
,7 度,0.15g,第二组,合作市、夏河县
,7 度,0.10g,第三组,碌曲县
西宁市,7 度,0.10g,第三组,城中区、城东区、城西区、城北区、大通回族土族自治县、湟中县、湟源县
海东市,7 度,0.10g,第三组,乐都区、平安区、民和回族土族自治县、互助土族自治县、化隆回族自治县、循化撒拉族自治县
海北藏族自治州,8 度,0.20g,第二组,祁连县
,7 度,0.15g,第三组,门源回族自治县
,7 度,0.15g,第二组,海晏县
,7 度,0.10g,第三组,刚察县
黄南藏族自治州,7 度,0.15g,第二组,同仁县
,7 度,0.10g,第三组,尖扎县、河南蒙古族自治县
,7 度,0.10g,第二组,泽库县
海南藏族自治州,7 度,0.15g,第二组,贵德县
,7 度,0.10g,第三组,共和县、同德县、兴海县、贵南县
果洛藏族自治州,8 度,0.30g,第三组,玛沁县
,8 度,0.20g,第三组,甘德县、达日县
,7 度,0.15g,第三组,玛多县
,7 度,0.10g,第三组,班玛县、久治县
玉树藏族自治州,8 度,0.20g,第三组,曲麻莱县
,7 度,0.15g,第三组,玉树市、治多县
,7 度,0.10g,第三组,称多县
,7 度,0.10g,第二组,杂多县、囊谦县
海西蒙古族藏族自治州,7 度,0.15g,第三组,德令哈市
,7 度,0.15g,第二组,乌兰县
,7 度,0.10g,第三组,格尔木市、都兰县、天峻县
银川市,8 度,0.20g,第三组,灵武市
,8 度,0.20g,第二组,兴庆区、西夏区、金凤区、永宁县、贺兰县
石嘴山市,8 度,0.20g,第二组,大武口区、惠农区、平罗县
吴忠市,8 度,0.20g,第三组,利通区、红寺堡区、同心县、青铜峡市
,6 度,0.05g,第三组,盐池县
固原市,8 度,0.20g,第三组,原州区、西吉县、隆德县、泾源县
,7 度,0.15g,第三组,彭阳县
中卫市,8 度,0.20g,第三组,沙坡头区、中宁县、海原县
乌鲁木齐市,8 度,0.20g,第二组,天山区、沙依巴克区、新市区、水磨沟区、头屯河区、达阪城区、米东区、乌鲁木齐县1
克拉玛依市,8 度,0.20g,第三组,独山子区
,7 度,0.10g,第三组,克拉玛依区、白碱滩区
,7 度,0.10g,第一组,乌尔禾区
吐鲁番市,7 度,0.15g,第二组,高昌区（原吐鲁番市）
,7 度,0.10g,第二组,鄯善县、托克逊县
哈密地区,8 度,0.20g,第二组,巴里坤哈萨克自治县
,7 度,0.15g,第二组,伊吾县
,7 度,0.10g,第二组,哈密市
昌吉回族自治州,8 度,0.20g,第三组,昌吉市、玛纳斯县
,8 度,0.20g,第二组,木垒哈萨克自治县
,7 度,0.15g,第三组,呼图壁县
,7 度,0.15g,第二组,阜康市、吉木萨尔县
,7 度,0.10g,第二组,奇台县
博尔塔拉蒙古自治州,8 度,0.20g,第三组,精河县
,8 度,0.20g,第二组,阿拉山口市
